participant_id	family_id	age	age_ses02	sex	handedness	ses01_protocol	ses02_protocol	group
sub-0033	fam-0013	11	n/a	M	Right	1d	n/a	n/a
sub-0034	fam-0198	11	13	F	Left	1d	2b	n/a
sub-0035	fam-0005	9	10	M	Right	1d	2c	n/a
sub-0036	fam-0014	14	16	F	Right	1d	2c	n/a
sub-0037	fam-0015	11	13	F	Right	1d	2b	n/a
sub-0038	fam-0144	11	13	M	Right	1d	2c	n/a
sub-0039	fam-0016	12	n/a	F	Left	1d	n/a	n/a
sub-0040	fam-0017	10	n/a	M	Right	1d	n/a	n/a
sub-0041	fam-0018	9	10	M	Right	1d	2c	n/a
sub-0042	fam-0092	11	12	M	Right	1d	2c	n/a
sub-0043	fam-0151	10	12	F	Right	1d	2c	n/a
sub-0044	fam-0094	12	14	F	Left	1d	2c	n/a
sub-0045	fam-0219	13	15	M	Left	1d	2b	n/a
sub-0046	fam-0064	9	n/a	F	Right	1d	n/a	n/a
sub-0047	fam-0097	10	12	F	Right	1d	2c	n/a
sub-0048	fam-0003	9	10	F	Right	1d	2c	n/a
sub-0049	fam-0081	10	12	M	Right	1d	2c	n/a
sub-0050	fam-0155	10	12	F	Right	1d	2c	n/a
sub-0051	fam-0019	11	12	M	Right	1d	2c	n/a
sub-0052	fam-0020	13	n/a	M	Right	1b	n/a	n/a
sub-0053	fam-0122	13	15	F	Right	1d	2b	n/a
sub-0054	fam-0199	11	13	M	Right	1d	2b	n/a
sub-0055	fam-0021	11	13	F	Left	1d	2b	n/a
sub-0056	fam-0010	13	n/a	M	Right	1d	n/a	n/a
sub-0057	fam-0197	13	14	M	Left	1d	2b	n/a
sub-0058	fam-0050	13	14	M	Right	1d	2b	n/a
sub-0059	fam-0007	13	15	M	Right	1b	2b	n/a
sub-0060	fam-0121	12	14	M	Right	1b	2b	n/a
sub-0061	fam-0167	10	12	M	Right	1d	2c	n/a
sub-0062	fam-0212	11	n/a	M	Right	1c	n/a	n/a
sub-0063	fam-0104	10	12	M	Right	1d	2c	n/a
sub-0064	fam-0204	11	13	F	Right	1d	2b	n/a
sub-0065	fam-0189	13	n/a	M	Right	1b	n/a	n/a
sub-0066	fam-0022	10	n/a	F	Right	1d	n/a	n/a
sub-0067	fam-0051	13	15	M	Right	1d	2b	n/a
sub-0068	fam-0023	11	13	M	Right	1d	2b	n/a
sub-0069	fam-0024	12	n/a	F	Right	1a	n/a	n/a
sub-0070	fam-0025	11	13	F	Right	1d	2c	n/a
sub-0071	fam-0026	12	n/a	M	Left	1d	n/a	n/a
sub-0072	fam-0028	13	14	M	Right	1d	2b	n/a
sub-0073	fam-0029	13	15	F	Right	1b	2a	n/a
sub-0074	fam-0192	13	15	F	Left	1d	2c	n/a
sub-0075	fam-0033	11	13	F	Right	1d	2c	n/a
sub-0076	fam-0146	10	11	F	Right	1d	2c	n/a
sub-0077	fam-0030	9	n/a	F	Right	1d	n/a	n/a
sub-0078	fam-0015	11	13	F	Right	1d	2b	n/a
sub-0079	fam-0031	11	12	M	Right	1d	2c	n/a
sub-0080	fam-0206	9	11	F	Right	1d	2c	n/a
sub-0081	fam-0085	9	10	F	Right	1d	2c	n/a
sub-0082	fam-0090	9	n/a	M	Right	1d	n/a	n/a
sub-0083	fam-0032	10	n/a	F	Left	1d	n/a	n/a
sub-0084	fam-0033	11	13	F	Right	1d	2c	n/a
sub-0085	fam-0034	11	12	M	Right	1d	2c	n/a
sub-0086	fam-0019	11	12	M	Right	1d	2c	n/a
sub-0087	fam-0035	10	n/a	F	Right	1d	n/a	n/a
sub-0088	fam-0036	12	14	M	Right	1d	2b	n/a
sub-0089	fam-0141	10	11	M	Right	1d	2c	n/a
sub-0090	fam-0196	10	12	F	Left	1d	2c	n/a
sub-0091	fam-0128	11	13	M	Right	1d	2b	n/a
sub-0092	fam-0038	9	11	M	Right	1d	2c	n/a
sub-0093	fam-0222	13	15	F	Right	1b	2a	n/a
sub-0094	fam-0065	10	n/a	M	Right	1d	n/a	n/a
sub-0095	fam-0039	12	13	M	Right	1d	2b	n/a
sub-0096	fam-0040	11	n/a	M	Right	1d	n/a	n/a
sub-0097	fam-0020	13	n/a	M	Right	1b	n/a	n/a
sub-0098	fam-0041	10	11	F	Right	1d	2c	n/a
sub-0099	fam-0035	10	n/a	M	Right	1d	n/a	n/a
sub-0100	fam-0042	11	13	M	Right	1d	2b	n/a
sub-0101	fam-0043	12	13	F	Left	1d	2c	n/a
sub-0102	fam-0044	11	13	M	Right	1d	2c	n/a
sub-0103	fam-0190	9	n/a	M	Right	1d	n/a	n/a
sub-0104	fam-0130	9	n/a	F	Left	1d	n/a	n/a
sub-0105	fam-0045	11	13	F	Right	1d	2c	n/a
sub-0106	fam-0046	11	13	F	Right	1d	2c	n/a
sub-0107	fam-0150	10	n/a	F	Left	1d	n/a	n/a
sub-0108	fam-0047	10	11	M	Right	1d	2c	n/a
sub-0109	fam-0048	9	10	F	Left	1d	2c	n/a
sub-0110	fam-0049	9	11	M	Right	1d	2c	n/a
sub-0111	fam-0050	13	14	M	Right	1d	2b	n/a
sub-0112	fam-0188	11	12	M	Right	1d	2c	n/a
sub-0113	fam-0048	9	10	M	Right	1d	2c	n/a
sub-0114	fam-0051	13	15	F	Right	1d	2b	n/a
sub-0115	fam-0052	13	14	M	Right	1d	2c	n/a
sub-0116	fam-0053	9	n/a	M	Left	1d	n/a	n/a
sub-0117	fam-0135	11	12	M	Right	1d	2c	n/a
sub-0118	fam-0134	9	10	F	Right	1d	2c	n/a
sub-0119	fam-0158	10	12	M	Right	1d	2c	n/a
sub-0120	fam-0045	11	13	F	Right	1d	2c	n/a
sub-0121	fam-0054	12	n/a	F	Right	1d	n/a	n/a
sub-0122	fam-0055	10	12	M	Right	1d	2c	n/a
sub-0123	fam-0220	12	14	F	Right	1b	2b	n/a
sub-0124	fam-0118	9	11	M	Left	1d	2c	n/a
sub-0125	fam-0056	10	11	F	Right	1d	2c	n/a
sub-0126	fam-0057	10	12	F	Right	1d	2c	n/a
sub-0127	fam-0058	11	12	M	Right	1d	2c	n/a
sub-0128	fam-0059	12	14	F	Right	1d	2c	n/a
sub-0129	fam-0060	12	15	M	Right	1a	2b	n/a
sub-0130	fam-0223	11	13	M	Left	1d	2c	n/a
sub-0131	fam-0061	9	n/a	M	Right	1d	n/a	n/a
sub-0132	fam-0016	12	n/a	F	Right	1d	n/a	n/a
sub-0133	fam-0062	12	n/a	M	Right	1c	n/a	n/a
sub-0134	fam-0063	11	12	M	Right	1d	2c	n/a
sub-0135	fam-0064	9	n/a	F	Right	1d	n/a	n/a
sub-0136	fam-0216	12	14	F	Right	1d	2c	n/a
sub-0137	fam-0065	10	n/a	M	Right	1d	n/a	n/a
sub-0138	fam-0210	11	n/a	F	Left	1d	n/a	n/a
sub-0139	fam-0066	11	13	F	Right	1d	2b	n/a
sub-0141	fam-0179	9	11	M	Right	1d	2c	n/a
sub-0142	fam-0067	9	n/a	M	Right	1d	n/a	n/a
sub-0143	fam-0072	10	n/a	F	Left	1d	n/a	n/a
sub-0144	fam-0207	11	13	F	Right	1d	2c	n/a
sub-0145	fam-0068	12	n/a	F	Left	1d	n/a	n/a
sub-0146	fam-0161	10	n/a	F	Right	1d	n/a	n/a
sub-0147	fam-0160	11	n/a	M	Right	1b	n/a	n/a
sub-0148	fam-0069	11	12	M	Right	1d	2b	n/a
sub-0149	fam-0070	10	n/a	M	Right	1d	n/a	n/a
sub-0150	fam-0071	10	11	M	Right	1d	2c	n/a
sub-0151	fam-0038	9	11	M	Right	1d	2c	n/a
sub-0152	fam-0123	13	15	F	Right	1b	2b	n/a
sub-0154	fam-0211	9	10	M	Right	1d	2c	n/a
sub-0155	fam-0074	12	14	F	Left	1d	2c	n/a
sub-0156	fam-0066	11	13	F	Right	1d	2b	n/a
sub-0157	fam-0025	11	13	F	Left	1d	2c	n/a
sub-0158	fam-0028	13	14	M	Right	1d	2b	n/a
sub-0159	fam-0075	10	12	M	Right	1d	2c	n/a
sub-0160	fam-0180	10	11	M	Right	1d	2c	n/a
sub-0161	fam-0012	10	12	M	Right	1d	2c	n/a
sub-0162	fam-0076	12	14	M	Right	1b	2b	n/a
sub-0163	fam-0077	11	13	F	Right	1d	2c	n/a
sub-0164	fam-0058	11	12	M	Right	1d	2c	n/a
sub-0165	fam-0078	9	11	F	Right	1d	2c	n/a
sub-0166	fam-0079	10	11	F	Right	1d	2c	n/a
sub-0167	fam-0170	11	13	M	Right	1d	2c	n/a
sub-0168	fam-0080	11	13	M	Left	1d	2b	n/a
sub-0169	fam-0089	13	n/a	M	Right	1b	n/a	n/a
sub-0170	fam-0081	10	12	M	Right	1d	2c	n/a
sub-0171	fam-0082	11	12	M	Right	1d	2c	n/a
sub-0172	fam-0083	11	13	F	Right	1d	2c	n/a
sub-0173	fam-0084	11	13	M	Right	1d	2c	n/a
sub-0174	fam-0085	9	10	F	Right	1d	2c	n/a
sub-0175	fam-0086	12	14	F	Right	1d	2c	n/a
sub-0176	fam-0106	10	n/a	F	Right	1d	n/a	n/a
sub-0177	fam-0087	12	n/a	F	Left	1c	n/a	n/a
sub-0178	fam-0088	10	12	F	Right	1d	2c	n/a
sub-0179	fam-0089	13	n/a	M	Right	1b	n/a	n/a
sub-0180	fam-0090	9	n/a	M	Left	1d	n/a	n/a
sub-0181	fam-0091	9	11	M	Right	1d	2c	n/a
sub-0182	fam-0092	11	12	M	Right	1d	2c	n/a
sub-0183	fam-0093	9	11	F	Right	1d	2c	n/a
sub-0184	fam-0094	12	14	M	Right	1d	2c	n/a
sub-0185	fam-0083	11	13	F	Right	1d	2c	n/a
sub-0186	fam-0095	11	14	M	Right	1b	2b	n/a
sub-0187	fam-0096	10	11	F	Right	1d	2c	n/a
sub-0188	fam-0097	10	12	F	Right	1d	2c	n/a
sub-0189	fam-0102	9	10	F	Right	1d	2c	n/a
sub-0190	fam-0063	11	12	M	Right	1d	2c	n/a
sub-0191	fam-0098	9	n/a	M	Right	1d	n/a	n/a
sub-0192	fam-0124	11	n/a	M	Left	1d	n/a	n/a
sub-0193	fam-0099	9	10	M	Right	1d	2c	n/a
sub-0194	fam-0193	10	11	F	Right	1d	2c	n/a
sub-0195	fam-0100	12	14	F	Left	1d	2b	n/a
sub-0196	fam-0004	11	n/a	F	Right	1d	n/a	n/a
sub-0197	fam-0080	11	13	M	Right	1d	2b	n/a
sub-0198	fam-0101	9	10	M	Right	1d	2c	n/a
sub-0199	fam-0102	9	10	M	Right	1d	2c	n/a
sub-0200	fam-0103	12	14	F	Right	1d	2b	n/a
sub-0201	fam-0098	9	n/a	M	Left	1d	n/a	n/a
sub-0202	fam-0152	12	14	M	Right	1d	2c	n/a
sub-0203	fam-0075	10	12	M	Right	1d	2c	n/a
sub-0204	fam-0040	11	n/a	F	Left	1d	n/a	n/a
sub-0205	fam-0133	9	11	M	Right	1d	2c	n/a
sub-0206	fam-0024	12	n/a	M	Left	1a	n/a	n/a
sub-0207	fam-0104	10	12	M	Right	1d	2c	n/a
sub-0208	fam-0049	9	11	F	Right	1d	2c	n/a
sub-0209	fam-0105	9	10	F	Right	1d	2c	n/a
sub-0210	fam-0106	10	n/a	F	Right	1d	n/a	n/a
sub-0211	fam-0107	9	11	M	Right	1d	2c	n/a
sub-0212	fam-0013	11	n/a	F	Right	1d	n/a	n/a
sub-0213	fam-0008	9	11	F	Right	1d	2c	n/a
sub-0214	fam-0095	11	14	M	Right	1b	2b	n/a
sub-0215	fam-0078	9	11	F	Right	1d	2c	n/a
sub-0216	fam-0203	11	n/a	F	Right	1d	n/a	n/a
sub-0217	fam-0108	12	n/a	M	Right	1d	n/a	n/a
sub-0218	fam-0022	10	n/a	M	Right	1d	n/a	n/a
sub-0219	fam-0043	12	13	F	Right	1d	2c	n/a
sub-0220	fam-0156	9	n/a	F	Right	1d	n/a	n/a
sub-0221	fam-0032	10	n/a	F	Left	1d	n/a	n/a
sub-0222	fam-0182	10	12	M	Left	1d	2c	n/a
sub-0223	fam-0110	14	15	F	Right	1d	2b	n/a
sub-0224	fam-0062	12	n/a	M	Right	1c	n/a	n/a
sub-0225	fam-0111	10	n/a	M	Right	1d	n/a	n/a
sub-0226	fam-0105	9	10	F	Right	1d	2c	n/a
sub-0227	fam-0113	13	15	F	Right	1d	2c	n/a
sub-0228	fam-0174	10	n/a	F	Right	1d	n/a	n/a
sub-0229	fam-0114	9	10	M	Right	1d	2c	n/a
sub-0230	fam-0061	9	n/a	M	Right	1d	n/a	n/a
sub-0231	fam-0115	9	10	F	Right	1d	2c	n/a
sub-0232	fam-0059	12	14	F	Right	1d	2c	n/a
sub-0233	fam-0116	12	14	F	Right	1d	2c	n/a
sub-0234	fam-0117	8	10	M	Right	1d	2c	n/a
sub-0235	fam-0118	9	11	M	Right	1d	2c	n/a
sub-0236	fam-0119	10	12	F	Right	1d	2c	n/a
sub-0237	fam-0101	9	10	M	Left	1d	2c	n/a
sub-0238	fam-0201	11	13	F	Left	1d	2c	n/a
sub-0239	fam-0120	12	14	F	Right	1b	2b	n/a
sub-0240	fam-0172	10	11	F	Right	1d	2c	n/a
sub-0241	fam-0121	12	14	F	Right	1b	2b	n/a
sub-0242	fam-0122	13	15	F	Right	1d	2b	n/a
sub-0243	fam-0123	13	15	M	Right	1b	2b	n/a
sub-0244	fam-0124	11	n/a	M	Right	1d	n/a	n/a
sub-0245	fam-0127	11	n/a	M	Right	1d	n/a	n/a
sub-0246	fam-0107	9	11	F	Right	1d	2c	n/a
sub-0247	fam-0126	12	14	F	Left	1c	2b	n/a
sub-0248	fam-0127	11	n/a	M	Right	1d	n/a	n/a
sub-0249	fam-0128	11	13	M	Right	1d	2b	n/a
sub-0250	fam-0129	10	12	M	Right	1d	2c	n/a
sub-0251	fam-0130	9	n/a	F	Left	1d	n/a	n/a
sub-0253	fam-0131	11	13	F	Right	1b	2b	n/a
sub-0254	fam-0132	12	n/a	M	Right	1d	n/a	n/a
sub-0255	fam-0133	9	11	F	Right	1d	2c	n/a
sub-0256	fam-0099	9	10	M	Left	1d	2c	n/a
sub-0257	fam-0134	9	10	M	Right	1d	2c	n/a
sub-0258	fam-0054	12	n/a	F	Right	1d	n/a	n/a
sub-0259	fam-0135	11	12	F	Right	1d	2c	n/a
sub-0260	fam-0136	13	n/a	F	Right	1d	n/a	n/a
sub-0261	fam-0137	9	10	F	Right	1d	2c	n/a
sub-0263	fam-0115	9	10	F	Right	1d	2c	n/a
sub-0264	fam-0175	9	n/a	M	Left	1d	n/a	n/a
sub-0265	fam-0140	11	n/a	M	Left	1d	n/a	n/a
sub-0266	fam-0141	10	11	M	Left	1d	2c	n/a
sub-0267	fam-0067	9	n/a	M	Right	1d	n/a	n/a
sub-0268	fam-0096	10	11	M	Left	1d	2c	n/a
sub-0269	fam-0142	11	13	M	Right	1d	2c	n/a
sub-0270	fam-0166	13	15	F	Left	1b	2b	n/a
sub-0271	fam-0143	12	14	F	Right	1d	2b	n/a
sub-0272	fam-0144	11	13	F	Right	1d	2c	n/a
sub-0273	fam-0146	10	11	F	Right	1d	2c	n/a
sub-0274	fam-0147	13	14	F	Left	1d	2c	n/a
sub-0275	fam-0149	12	n/a	F	Right	1d	n/a	n/a
sub-0276	fam-0200	13	14	F	Right	1d	2c	n/a
sub-0277	fam-0185	14	16	F	Right	1d	2b	n/a
sub-0278	fam-0150	10	n/a	F	Right	1d	n/a	n/a
sub-0279	fam-0151	10	12	F	Right	1d	2c	n/a
sub-0280	fam-0152	12	14	M	Left	1d	2c	n/a
sub-0281	fam-0153	12	n/a	F	Right	1c	n/a	n/a
sub-0282	fam-0213	12	14	M	Right	1d	2b	n/a
sub-0283	fam-0154	9	n/a	F	Right	1d	n/a	n/a
sub-0284	fam-0155	10	12	M	Right	1d	2c	n/a
sub-0286	fam-0156	9	n/a	M	Right	1d	n/a	n/a
sub-0287	fam-0026	12	n/a	M	Right	1d	n/a	n/a
sub-0288	fam-0157	12	13	F	Left	1d	2c	n/a
sub-0289	fam-0158	10	12	F	Right	1d	2c	n/a
sub-0290	fam-0186	11	13	M	Left	1d	2c	n/a
sub-0291	fam-0017	10	n/a	F	Right	1d	n/a	n/a
sub-0292	fam-0018	9	10	M	Right	1d	2c	n/a
sub-0293	fam-0159	11	12	F	Right	1d	2c	n/a
sub-0294	fam-0160	11	n/a	M	Right	1b	n/a	n/a
sub-0295	fam-0079	10	11	M	Right	1d	2c	n/a
sub-0296	fam-0161	10	n/a	F	Right	1d	n/a	n/a
sub-0297	fam-0162	12	14	M	Right	1b	2b	n/a
sub-0298	fam-0163	12	13	M	Left	1d	2b	n/a
sub-0299	fam-0165	11	12	F	Right	1d	2b	n/a
sub-0300	fam-0166	13	15	F	Right	1b	2b	n/a
sub-0301	fam-0167	10	12	F	Right	1d	2c	n/a
sub-0302	fam-0120	12	14	F	Right	1b	2a	n/a
sub-0303	fam-0126	12	14	F	Right	1c	2b	n/a
sub-0304	fam-0168	12	14	M	Right	1d	2c	n/a
sub-0305	fam-0169	10	n/a	M	Right	1d	n/a	n/a
sub-0306	fam-0060	12	15	M	Left	1a	2b	n/a
sub-0307	fam-0111	10	n/a	M	Left	1d	n/a	n/a
sub-0308	fam-0136	13	n/a	M	Right	1d	n/a	n/a
sub-0309	fam-0053	9	n/a	M	Right	1d	n/a	n/a
sub-0310	fam-0009	11	12	M	Right	1d	2c	n/a
sub-0311	fam-0170	11	13	F	Right	1d	2c	n/a
sub-0312	fam-0044	11	13	F	Right	1d	2c	n/a
sub-0313	fam-0171	9	10	F	Right	1d	2c	n/a
sub-0314	fam-0114	9	10	M	Right	1d	2c	n/a
sub-0315	fam-0181	9	10	F	Right	1d	2c	n/a
sub-0316	fam-0149	12	n/a	M	Right	1d	n/a	n/a
sub-0317	fam-0172	10	11	F	Right	1d	2c	n/a
sub-0318	fam-0173	11	12	F	Right	1d	2c	n/a
sub-0319	fam-0174	10	n/a	F	Right	1d	n/a	n/a
sub-0320	fam-0183	9	11	F	Right	1d	2c	n/a
sub-0321	fam-0086	12	14	F	Right	1d	2c	n/a
sub-0322	fam-0046	11	13	F	Right	1d	2c	n/a
sub-0323	fam-0173	11	12	M	Right	1d	2c	n/a
sub-0324	fam-0175	9	n/a	M	Left	1d	n/a	n/a
sub-0325	fam-0209	10	11	M	Right	1d	2c	n/a
sub-0326	fam-0176	10	12	F	Right	1d	2c	n/a
sub-0327	fam-0177	12	14	M	Left	1d	2c	n/a
sub-0328	fam-0077	11	13	F	Right	1d	2c	n/a
sub-0329	fam-0178	13	15	F	Right	1b	2a	n/a
sub-0330	fam-0191	12	15	F	Left	1a	2b	n/a
sub-0331	fam-0179	9	11	M	Right	1d	2c	n/a
sub-0332	fam-0143	12	14	M	Left	1d	2b	n/a
sub-0333	fam-0041	10	11	F	Left	1d	2c	n/a
sub-0334	fam-0180	10	11	F	Right	1d	2c	n/a
sub-0335	fam-0181	9	10	F	Left	1d	2c	n/a
sub-0336	fam-0182	10	12	M	Right	1d	2c	n/a
sub-0337	fam-0036	12	14	M	Right	1d	2b	n/a
sub-0338	fam-0071	10	11	F	Right	1d	2c	n/a
sub-0339	fam-0069	11	12	M	Left	1d	2b	n/a
sub-0340	fam-0183	9	11	F	Right	1d	2c	n/a
sub-0341	fam-0184	11	n/a	M	Right	1d	n/a	n/a
sub-0342	fam-0084	11	13	M	Left	1d	2c	n/a
sub-0343	fam-0163	12	13	M	Right	1d	2b	n/a
sub-0344	fam-0185	14	16	F	Left	1d	2b	n/a
sub-0345	fam-0131	11	13	F	Left	1b	2b	n/a
sub-0346	fam-0186	11	13	M	Right	1d	2c	n/a
sub-0347	fam-0187	9	n/a	M	Left	1d	n/a	n/a
sub-0348	fam-0214	13	n/a	M	Left	1c	n/a	n/a
sub-0349	fam-0068	12	n/a	F	Right	1d	n/a	n/a
sub-0350	fam-0188	11	12	M	Right	1d	2c	n/a
sub-0351	fam-0189	13	n/a	M	Right	1b	n/a	n/a
sub-0352	fam-0190	9	n/a	M	Left	1d	n/a	n/a
sub-0353	fam-0129	10	12	M	Right	1d	2c	n/a
sub-0354	fam-0191	12	15	F	Left	1a	2b	n/a
sub-0355	fam-0217	10	n/a	M	Right	1d	n/a	n/a
sub-0356	fam-0192	13	15	F	Left	1d	2c	n/a
sub-0357	fam-0193	10	11	F	Right	1d	2c	n/a
sub-0358	fam-0194	12	13	F	Right	1d	2b	n/a
sub-0359	fam-0147	13	14	F	Right	1d	2c	n/a
sub-0360	fam-0196	10	12	F	Right	1d	2c	n/a
sub-0361	fam-0197	13	14	M	Right	1d	2b	n/a
sub-0362	fam-0198	11	13	F	Right	1d	2b	n/a
sub-0363	fam-0199	11	13	M	Right	1d	2b	n/a
sub-0364	fam-0100	12	14	F	Right	1d	2b	n/a
sub-0365	fam-0200	13	14	F	Right	1d	2c	n/a
sub-0366	fam-0091	9	11	M	Right	1d	2c	n/a
sub-0367	fam-0221	12	n/a	M	Right	1d	n/a	n/a
sub-0368	fam-0177	12	14	F	Right	1d	2c	n/a
sub-0369	fam-0194	12	13	F	Right	1d	2b	n/a
sub-0370	fam-0030	9	n/a	F	Right	1d	n/a	n/a
sub-0371	fam-0201	11	13	F	Right	1d	2c	n/a
sub-0372	fam-0202	11	13	F	Right	1d	2c	n/a
sub-0373	fam-0203	11	n/a	F	Right	1d	n/a	n/a
sub-0374	fam-0204	11	13	F	Right	1d	2b	n/a
sub-0375	fam-0023	11	13	M	Right	1d	2b	n/a
sub-0376	fam-0171	9	10	M	Right	1d	2c	n/a
sub-0377	fam-0205	12	14	M	Left	1d	2c	n/a
sub-0378	fam-0206	9	11	F	Right	1d	2c	n/a
sub-0379	fam-0108	12	n/a	F	Right	1d	n/a	n/a
sub-0380	fam-0157	12	13	F	Right	1d	2c	n/a
sub-0381	fam-0205	12	14	M	Right	1d	2c	n/a
sub-0382	fam-0207	11	13	F	Right	1d	2c	n/a
sub-0383	fam-0208	13	n/a	F	Right	1d	n/a	n/a
sub-0384	fam-0052	13	14	F	Right	1d	2c	n/a
sub-0385	fam-0209	10	11	M	Right	1d	2c	n/a
sub-0386	fam-0210	11	n/a	F	Left	1d	n/a	n/a
sub-0387	fam-0215	11	13	M	Right	1d	2a	n/a
sub-0388	fam-0211	9	10	M	Right	1d	2c	n/a
sub-0389	fam-0162	12	14	M	Right	1b	2b	n/a
sub-0390	fam-0176	10	12	F	Right	1d	2c	n/a
sub-0391	fam-0212	11	n/a	M	Right	1c	n/a	n/a
sub-0392	fam-0213	12	14	M	Right	1d	2b	n/a
sub-0393	fam-0214	13	n/a	M	Right	1c	n/a	n/a
sub-0394	fam-0055	10	12	M	Right	1d	2c	n/a
sub-0395	fam-0215	11	13	M	Left	1d	2a	n/a
sub-0396	fam-0216	12	14	F	Right	1d	2c	n/a
sub-0397	fam-0113	13	15	M	Right	1d	2c	n/a
sub-0398	fam-0217	10	n/a	M	Right	1d	n/a	n/a
sub-0399	fam-0218	9	n/a	M	Right	1d	n/a	n/a
sub-0400	fam-0165	11	12	F	Right	1d	2b	n/a
sub-0401	fam-0031	11	12	F	Right	1d	2c	n/a
sub-0402	fam-0219	13	15	M	Left	1d	2b	n/a
sub-0403	fam-0034	11	12	M	Right	1d	2c	n/a
sub-0404	fam-0220	12	14	F	Right	1a	2b	n/a
sub-0405	fam-0117	8	10	F	Right	1d	2c	n/a
sub-0406	fam-0140	11	n/a	M	Right	1d	n/a	n/a
sub-0407	fam-0132	12	n/a	M	Right	1d	n/a	n/a
sub-0408	fam-0011	11	13	M	Right	1d	2b	n/a
sub-0409	fam-0159	11	12	F	Right	1d	2c	n/a
sub-0410	fam-0021	11	13	F	Right	1d	2b	n/a
sub-0411	fam-0057	10	12	F	Right	1d	2c	n/a
sub-0412	fam-0056	10	11	F	Right	1d	2c	n/a
sub-0413	fam-0076	12	14	M	Right	1b	2b	n/a
sub-0414	fam-0208	13	n/a	F	Right	1d	n/a	n/a
sub-0415	fam-0074	12	14	F	Right	1d	2c	n/a
sub-0416	fam-0221	12	n/a	M	Right	1d	n/a	n/a
sub-0417	fam-0042	11	13	F	Right	1d	2b	n/a
sub-0418	fam-0222	13	15	F	Right	1b	2a	n/a
sub-0419	fam-0103	12	14	F	Right	1d	2b	n/a
sub-0420	fam-0002	10	11	M	Right	1d	2c	n/a
sub-0421	fam-0142	11	13	M	Right	1d	2c	n/a
sub-0422	fam-0223	11	13	M	Right	1d	2c	n/a
