onset	duration	trial_type	trial_type_2	response_time	identifier	database	target_condition	distractor
548.143	4	Incongruent	pII	0.73	F13FA_5314	NIMH-ChEFS	FEAR	HAPPY
553.195	3	Congruent	n/a	0.631	F14HA_5595	NIMH-ChEFS	HAPPY	HAPPY
557.25	2.5	Congruent	n/a	0.727	M5FA_5198	NIMH-ChEFS	FEAR	FEAR
560.804	2	Incongruent	pCI	0.736	F2FA_3491	NIMH-ChEFS	FEAR	HAPPY
563.857	3.5	Incongruent	pII	0.884	F23HS_7148	NIMH-ChEFS	HAPPY	FEAR
568.407	2.5	Congruent	n/a	0.615	M18FS_8888	NIMH-ChEFS	FEAR	FEAR
571.96	3.5	Congruent	n/a	0.57	F30HA_8500	NIMH-ChEFS	HAPPY	HAPPY
576.509	4	Incongruent	pCI	0.594	M7HS_5497	NIMH-ChEFS	HAPPY	FEAR
581.558	3	Incongruent	pII	0.503	F14FS_5632	NIMH-ChEFS	FEAR	HAPPY
585.608	2	Congruent	n/a	0.652	M2HA_4506	NIMH-ChEFS	HAPPY	HAPPY
588.662	4	Congruent	n/a	0.619	F21FA_6608	NIMH-ChEFS	FEAR	FEAR
593.736	3	Incongruent	pCI	0.675	F6HS_3875	NIMH-ChEFS	HAPPY	FEAR
597.813	3.5	Incongruent	pII	0.678	M19HS_9059	NIMH-ChEFS	HAPPY	FEAR
602.365	2.5	Congruent	n/a	0.591	F4FS_3704	NIMH-ChEFS	FEAR	FEAR
605.911	2	Congruent	n/a	0.537	F32HA_7998	NIMH-ChEFS	HAPPY	HAPPY
608.963	2.5	Incongruent	pCI	0.651	M6HA_5360	NIMH-ChEFS	HAPPY	FEAR
612.516	2	Incongruent	pII	0.54	M16FA_8681	NIMH-ChEFS	FEAR	HAPPY
615.568	4	Congruent	n/a	0.657	F19HS_6297	NIMH-ChEFS	HAPPY	HAPPY
620.615	3	Congruent	n/a	0.599	F35FA_8465	NIMH-ChEFS	FEAR	FEAR
624.666	3.5	Incongruent	pCI	0.665	M4FS_4935	NIMH-ChEFS	FEAR	HAPPY
629.224	2	Incongruent	pII	0.619	F37HS_8954	NIMH-ChEFS	HAPPY	FEAR
632.279	2.5	Congruent	n/a	0.803	F30FS_8546	NIMH-ChEFS	FEAR	FEAR
635.833	3.5	Congruent	n/a	0.676	M9HS_6054	NIMH-ChEFS	HAPPY	HAPPY
640.409	3	Incongruent	pCI	0.589	F31FA_7873	NIMH-ChEFS	FEAR	HAPPY
644.462	4	Incongruent	pII	0.608	F4HA_3668	NIMH-ChEFS	HAPPY	FEAR
649.518	2	Congruent	n/a	0.731	M15HA_8321	NIMH-ChEFS	HAPPY	HAPPY
652.568	3.5	Incongruent	pCI	0.585	F3HS_3540	NIMH-ChEFS	HAPPY	FEAR
657.121	4	Incongruent	pII	0.568	M20FS_9236	NIMH-ChEFS	FEAR	HAPPY
